flex_mnozstvi_+,flex_obchod_+,flex_cena_+,flex_mnozstvi_-,flex_obchod_-,flex_cena_-
43041.504,230.643,0.01,-32146.15,-612.608,0.01
35308.939,399.335,0.01,-39650.144,-257.659,0.01
43120.492,280.32,0.01,-33387.612,-550.575,0.01
48095.106,361.084,0.01,-27548.392,-504.329,0.01
41007.399,482.419,0.01,-34882.553,-226.627,0.01
30990.023,496.321,0.01,-44743.774,0.0,0.0
35867.811,618.378,0.01,-40287.927,-211.41,0.01
18653.626,1576.087,0.01,-59168.255,0.0,0.0
18263.538,4617.434,0.01,-62107.782,0.0,0.0
31054.69,7683.077,0.01,-53245.039,-879.43,0.01
42891.51,1158.084,0.01,-34381.49,-324.495,0.01
76309.666,650.0,0.01,-8693.667,-2756.831,1.0
63702.741,1667.702,0.01,-19409.169,-4045.92,0.1
51453.905,1917.856,0.01,-28722.218,-2261.558,0.01
43443.233,540.841,0.01,-34258.006,-762.333,0.01
37812.08,463.565,0.01,-41845.429,-75.732,0.01
46528.747,3411.708,0.01,-33083.695,-444.259,0.01
57674.895,991.8,0.01,-20104.298,-958.088,0.01
55845.026,1083.2,0.01,-23370.782,-1865.816,0.01
50216.233,555.143,0.01,-27670.717,-1590.032,0.01
57417.401,0.0,0.0,-25809.322,-6008.557,0.01
40030.758,349.51,0.01,-39846.514,-4726.426,0.01
28898.443,2274.641,0.01,-50415.216,-322.19,0.01
51357.334,29.067,0.01,-24779.022,-478.147,0.01
53851.04,8.298,0.01,-23346.302,-574.127,0.01
49777.322,10.551,0.01,-28161.104,-1148.368,0.01
31883.888,36.637,0.01,-45427.189,-1923.819,0.01
28961.323,2208.648,0.01,-52703.981,-956.939,0.01
38562.681,3828.211,0.01,-42185.859,-513.201,0.01
40667.291,3423.96,0.01,-39186.036,-1182.107,0.01
24716.97,6479.197,3.0,-57869.428,-360.692,0.01
25057.81,1773.384,0.01,-51939.012,-200.0,0.01
29050.959,1710.744,0.01,-48750.594,-911.0,0.01
34083.89,367.499,0.01,-43082.402,-1423.7,0.01
41083.283,1029.551,0.01,-37031.152,-2168.138,0.01
32508.861,980.152,0.01,-46917.92,-2195.7,0.01
48922.52,499.202,0.01,-30387.134,-5424.572,0.01
51268.274,478.478,0.01,-31031.416,-6198.481,0.01
13216.138,9958.074,1.0,-70083.432,-186.433,0.01
23832.109,650.0,0.01,-51124.065,-1297.647,0.01
54478.246,700.0,0.01,-25260.304,-4117.273,0.01
41172.906,750.0,0.01,-34853.588,-2295.087,0.01
27010.858,3034.651,0.01,-50174.684,-595.212,0.01
